n [count],H [mm],b [mm],d [mm],γ [N/mm3],Pmax [N],P0 [N]
6,90.0,25.0,5.0,1.6227528090000002e-05,16.377897284389142,3.7638342790548913
6,90.0,25.0,5.0,1.6227528090000002e-05,15.985357291119998,5.092730638099998
6,120.0,25.0,5.0,1.6227528090000002e-05,29.66511847411345,4.836938772019669
6,120.0,25.0,5.0,1.6227528090000002e-05,30.525533088365002,7.927221218139999
6,150.0,25.0,5.0,1.6227528090000002e-05,47.88742336203,9.283650568185001
9,90.0,35.3553,5.0,1.6227528090000002e-05,20.83621988549047,5.5686267260298825
9,90.0,25.0,5.0,1.6227528090000002e-05,17.29490682290599,4.729628411687727
12,90.0,35.3553,5.0,1.6227528090000002e-05,21.948365576357837,7.451502903278116
12,90.0,25.0,5.0,1.6227528090000002e-05,18.016852715170874,6.163705628373598
F,90.0,35.3553,5.0,1.6227528090000002e-05,23.880025902899362,11.373276371655885
F,90.0,25.0,5.0,1.6227528090000002e-05,17.519342111413756,6.82712486477715
2,90.0,25.0,5.0,1.6227528090000002e-05,10.497081539108782,1.6681829504858
3,90.0,43.3013,5.0,1.6227528090000002e-05,19.128998850860913,3.7150505745842795
3,90.0,25.0,5.0,1.6227528090000002e-05,15.616981810674849,2.9053509515766893
3,90.0,25.0,5.0,1.6227528090000002e-05,14.246427403144994,3.4538354447799984
3,120.0,25.0,5.0,1.6227528090000002e-05,26.825020188819998,1.6717455094900002
6,90.0,43.3013,5.0,1.6227528090000002e-05,23.714191555642238,6.271015988705536
6,90.0,25.0,5.0,1.6227528090000002e-05,17.733963276900326,4.35891273657592
6,90.0,25.0,5.0,1.6227528090000002e-05,19.109162678795,5.055460464774999
6,120.0,25.0,5.0,1.6227528090000002e-05,33.12854063715,8.901143165599999
6,150.0,25.0,5.0,1.6227528090000002e-05,57.151950962715,10.380170350619998
F,90.0,25.0,5.0,1.6227528090000002e-05,17.616838348724496,6.885651075815788
3,90.0,25.0,5.0,1.6227528090000002e-05,16.336478510379994,5.149611169429999
3,120.0,25.0,5.0,1.6227528090000002e-05,30.265623520755,5.175113362755
