n [count],α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Vroot [mm3],P0 [N],DR [ ],Material,d50 [mm],φ [°]
6,45,50.0,90.0,35.3553,54.64466094067262,5.0,1.0471975511965976,1.622752809e-05,18.660715321985197,1.1793321599999995,4.984261161403871,6629.2990690700035,4.388212317555862,0.8,F110,0.12,39.33
6,45,35.3553,90.0,25.0,65.0,5.0,1.0471975511965976,1.622752809e-05,16.377897284389142,0.6030188599999988,2.602118613166494,5107.338145807912,3.7638342790548913,0.8,F110,0.12,39.33
6,45,35.355339,90.0,25.0,65.0,5.0,1.0471975511965976,1.622752809e-05,15.985357291119998,0.85347556,2.602118613166494,5107.342198910809,5.092730638099998,0.8,F110,0.12,39.33
6,45,35.3553,120.0,25.0,95.0,5.0,1.0471975511965976,1.622752809e-05,29.665118474113452,1.1707444199999992,3.5579989200439814,5696.386768355997,4.836938772019668,0.8,F110,0.12,39.33
6,45,35.355339,120.0,25.0,95.0,5.0,1.0471975511965976,1.622752809e-05,30.525533088365002,1.566623739999999,3.557998920043982,5696.390821458895,7.927221218139999,0.8,F110,0.12,39.33
6,45,35.355339,150.0,25.0,125.0,5.0,1.0471975511965976,1.622752809e-05,47.88742336203,1.9367398399999978,4.5138792269214685,6285.439444006981,9.283650568185,0.8,F110,0.12,39.33
9,45,50.0,90.0,35.3553,54.64466094067262,5.0,0.6981317007977318,1.622752809e-05,20.83621988549047,0.87102696,4.984261161403871,9156.876475600595,5.5686267260298825,0.8,F110,0.12,39.33
9,45,35.3553,90.0,25.0,65.0,5.0,0.6981317007977318,1.622752809e-05,17.29490682290599,0.5243144200000001,2.602118613166494,6772.271516075506,4.7296284116877265,0.8,F110,0.12,39.33
12,45,50.0,90.0,35.3553,54.64466094067262,5.0,0.5235987755982988,1.622752809e-05,21.948365576357833,0.741174540000001,4.984261161403871,11517.387599647247,7.451502903278116,0.8,F110,0.12,39.33
12,45,35.3553,90.0,25.0,65.0,5.0,0.5235987755982988,1.622752809e-05,18.01685271517087,0.4226788599999961,2.602118613166494,8270.138603859163,6.163705628373598,0.8,F110,0.12,39.33
F,45,50.0,90.0,35.3553,54.64466094067262,5.0,0.0,1.622752809e-05,23.880025902899362,0.2883916000000022,4.984261161403871,28887.24380265261,11.373276371655887,0.8,F110,0.12,39.33
F,45,35.3553,90.0,25.0,65.0,5.0,0.0,1.622752809e-05,17.519342111413756,0.288015679999997,2.602118613166494,15206.531093064583,6.82712486477715,0.8,F110,0.12,39.33
2,60,28.8675,90.0,25.0,75.56624327025935,5.0,3.141592653589793,1.622752809e-05,10.497081539108784,1.3268299599999969,2.714341544941135,2587.050801339838,1.6681829504858,0.8,F110,0.12,39.33
3,60,50.0,90.0,43.3013,65.0,5.0,2.0943951023931953,1.622752809e-05,19.128998850860913,3.2480935799999995,7.80636603968365,4153.310604043065,3.71505057458428,0.8,F110,0.12,39.33
3,60,28.8675,90.0,25.0,75.56624327025935,5.0,2.0943951023931953,1.622752809e-05,15.61698181067485,1.0145623600000018,2.714341544941135,3115.9714360432786,2.9053509515766893,0.8,F110,0.12,39.33
3,60,28.867513,90.0,25.0,75.566243,5.0,2.0943951023931953,1.622752809e-05,14.246427403144997,1.0470261000000005,2.714341544941135,3115.9720741792867,3.4538354447799984,0.8,F110,0.12,39.33
3,60,28.867513,120.0,25.0,105.56624,5.0,2.0943951023931953,1.622752809e-05,26.82502018882,2.4074526399999976,3.6702218518186225,3705.0206967273725,1.6717455094900002,0.8,F110,0.12,39.33
6,60,50.0,90.0,43.3013,65.0,5.0,1.0471975511965976,1.622752809e-05,23.71419155564224,2.4041481000000027,7.80636603968365,6893.940144128836,6.2710159887055354,0.8,F110,0.12,39.33
6,60,28.8675,90.0,25.0,75.56624327025935,5.0,1.0471975511965976,1.622752809e-05,17.733963276900326,0.693519060000004,2.714341544941135,4611.793974529307,4.3589127365759195,0.8,F110,0.12,39.33
6,60,28.867513,90.0,25.0,75.566243,5.0,1.0471975511965976,1.622752809e-05,19.109162678795,0.9137776999999984,2.714341544941135,4611.795378428524,5.055460464774999,0.8,F110,0.12,39.33
6,60,28.867513,120.0,25.0,105.56624,5.0,1.0471975511965976,1.622752809e-05,33.128540637149996,1.7514925600000006,3.670221851818622,5200.844000976611,8.901143165599997,0.8,F110,0.12,39.33
6,60,28.867513,150.0,25.0,135.56624,5.0,1.0471975511965976,1.622752809e-05,57.151950962715,2.579867839999998,4.62610215869611,5789.892623524697,10.380170350619998,0.8,F110,0.12,39.33
F,60,28.8675,90.0,25.0,75.56624327025935,5.0,0.0,1.622752809e-05,17.616838348724496,0.2892399600000012,2.714341544941135,12895.55027804501,6.885651075815788,0.8,F110,0.12,39.33
3,75,25.881905,90.0,25.0,83.30127,5.0,2.0943951023931953,1.622752809e-05,16.336478510379997,0.8554567600000006,2.796494432774508,3099.036158305483,5.149611169429999,0.8,F110,0.12,39.33
3,75,25.881905,120.0,25.0,113.30127,5.0,2.0943951023931953,1.622752809e-05,30.265623520755,3.60915204,3.7523747396519953,3688.0847808535686,5.175113362755,0.8,F110,0.12,39.33
3,75,25.881905,150.0,25.0,143.30127,5.0,2.0943951023931953,1.622752809e-05,45.706152757825,3.592733480000002,4.708255046529483,4277.133403401655,6.17357841317,0.8,F110,0.12,39.33
6,75,25.881905,90.0,25.0,83.30127,5.0,1.0471975511965976,1.622752809e-05,18.275491516975,1.49037294,2.796494432774508,4440.154696707681,5.809702664919998,0.8,F110,0.12,39.33
