n [count],α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Vroot [mm3],P0 [N],DR [ ],Material,d50 [mm],φ [°]
3,75,25.881905,90.0,25.0,83.30127,5.0,2.0943951023931953,1.513421783e-05,7.553344971839449,0.5328081800000017,2.6080839713395747,3099.036158305483,2.1364661778179994,0.55,GB,0.1,26.6
6,75,25.881905,90.0,25.0,83.30127,5.0,1.0471975511965976,1.513421783e-05,9.639485549900499,0.36105591999999925,2.6080839713395747,4440.154696707681,3.587045644118999,0.55,GB,0.1,26.6
F,90,50.0,60.0,50.0,60.0,5.0,0.0,1.513421783e-05,13.370124772445001,0.14268704000000282,1.874711087323301,40448.00541496859,9.038056094468331,0.55,GB,0.1,26.6
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.513421783e-05,10.2858421456,0.1865680800000013,3.845984016056384,11584.622910112363,3.2612028117516667,0.55,GB,0.1,26.6
F,90,50.0,90.0,50.0,90.0,5.0,0.0,1.513421783e-05,25.342783287255,0.2308275800000008,2.3689829686638175,41037.054037516675,14.040888916885978,0.55,GB,0.1,26.6
F,90,12.5,120.0,12.5,120.0,5.0,0.0,1.513421783e-05,11.038874205135002,1.4993391400000013,12.382651750017637,4810.563750809371,0.9970258019443763,0.55,GB,0.1,26.6
F,90,25.0,120.0,25.0,120.0,5.0,0.0,1.513421783e-05,17.90312419049,0.30348936000000204,5.0206241136670995,12173.67153266045,6.162800577931667,0.55,GB,0.1,26.6
F,90,37.5,150.0,37.5,150.0,5.0,0.0,1.513421783e-05,43.31471976013,0.4965699999999989,4.318887197873456,25034.566458293666,13.924232750427224,0.55,GB,0.1,26.6
3,30,50.0,90.0,25.0,46.69873,5.0,2.0943951023931953,1.675032216e-05,8.752849122536398,2.9437533200000026,2.485311826104681,3744.036827147881,0.941854496159499,0.8,O2030,0.72,34.05
6,30,50.0,90.0,25.0,46.69873,5.0,1.0471975511965976,1.675032216e-05,12.864312475419998,1.696661579999999,2.485311826104681,6334.878836132256,2.182558413482999,0.8,O2030,0.72,34.05
3,45,35.355339,90.0,25.0,65.0,5.0,2.0943951023931953,1.675032216e-05,10.98139252616,1.375054399999999,2.685949753242497,3275.3402488696497,1.0195258119549986,0.8,O2030,0.72,34.05
6,45,35.355339,90.0,25.0,65.0,5.0,1.0471975511965976,1.675032216e-05,12.70855345347,1.3208863600000007,2.685949753242497,5107.342198910809,1.6128987448349983,0.8,O2030,0.72,34.05
3,60,28.867513,90.0,25.0,75.566243,5.0,2.0943951023931953,1.675032216e-05,12.186581856641498,1.3203224800000042,2.8017881144851637,3115.9720741792867,1.1801800193854992,0.8,O2030,0.72,34.05
6,60,28.867513,90.0,25.0,75.566243,5.0,1.0471975511965976,1.675032216e-05,14.478869524769998,1.1391290399999996,2.8017881144851637,4611.795378428524,2.970306798549999,0.8,O2030,0.72,34.05
3,75,25.881905,90.0,25.0,83.30127,5.0,2.0943951023931953,1.675032216e-05,12.760537524455,1.5274620200000035,2.886587680380313,3099.036158305483,2.518163354979998,0.8,O2030,0.72,34.05
6,75,25.881905,90.0,25.0,83.30127,5.0,1.0471975511965976,1.675032216e-05,16.62875394565,1.4062887800000017,2.886587680380313,4440.154696707681,4.8494933561549995,0.8,O2030,0.72,34.05
F,90,50.0,60.0,50.0,60.0,5.0,0.0,1.675032216e-05,19.436020284625,0.3465220400000015,2.4623118073269867,40448.00541496859,10.992986863077334,0.8,O2030,0.72,34.05
F,90,25.0,90.0,25.0,90.0,5.0,0.0,1.675032216e-05,16.750453491485,0.40276780000000023,5.658886789396502,11584.622910112363,4.036740682029079,0.8,O2030,0.72,34.05
F,90,50.0,90.0,50.0,90.0,5.0,0.0,1.675032216e-05,36.44491234621999,0.45504608000000046,3.078090290534187,41037.054037516675,18.040703364480002,0.8,O2030,0.72,34.05
F,90,12.5,120.0,12.5,120.0,5.0,0.0,1.675032216e-05,19.76258074896,1.6984598999999998,20.029464966101663,4810.563750809371,0.9089920088472234,0.8,O2030,0.72,34.05
F,90,25.0,120.0,25.0,120.0,5.0,0.0,1.675032216e-05,29.224511310820002,0.6328410000000004,7.404793595622816,12173.67153266045,6.5757571384341675,0.8,O2030,0.72,34.05
F,90,37.5,150.0,37.5,150.0,5.0,0.0,1.675032216e-05,65.57171019644,0.8843340200000033,5.9073088741929345,25034.566458293666,18.47655778728125,0.8,O2030,0.72,34.05
3,30,62.5,112.5,31.25,58.373412,6.25,2.0943951023931953,1.675032216e-05,17.071087797225,2.1156650600000035,4.854124660360705,7312.571928023206,2.6133006086249995,0.8,O2030,0.72,34.05
6,30,62.5,112.5,31.25,58.373412,6.25,1.0471975511965976,1.675032216e-05,20.180180267905,1.6971365599999997,4.854124660360705,12372.810226820813,2.028750718749999,0.8,O2030,0.72,34.05
3,60,36.084392,112.5,31.25,94.457804,6.25,2.0943951023931953,1.675032216e-05,18.37651276062,1.2986156400000033,5.472242411103835,6085.8830149056985,2.560337833969999,0.8,O2030,0.72,34.05
6,60,36.084392,112.5,31.25,94.457804,6.25,1.0471975511965976,1.675032216e-05,22.813608044989998,1.4333753400000024,5.472242411103835,9007.412975046625,5.311445411054998,0.8,O2030,0.72,34.05
3,30,75.0,135.0,37.5,70.048095,7.5,2.0943951023931953,1.675032216e-05,24.158261569715002,2.921198119999997,8.387927413103299,12636.1242916241,1.779629446804999,0.8,O2030,0.72,34.05
6,30,75.0,135.0,37.5,70.048095,7.5,1.0471975511965976,1.675032216e-05,31.05809988792,2.209749199999998,8.387927413103299,21380.216071946365,6.040192282529999,0.8,O2030,0.72,34.05
3,60,43.30127,135.0,37.5,113.34936,7.5,2.0943951023931953,1.675032216e-05,33.03536177151,1.6461765399999966,9.456034886387428,10516.405805578399,5.911702612235,0.8,O2030,0.72,34.05
6,60,43.30127,135.0,37.5,113.34936,7.5,1.0471975511965976,1.675032216e-05,42.361496708824994,1.4596109999999969,9.456034886387428,15564.809523687549,13.863728378619,0.8,O2030,0.72,34.05
6,60,43.30127,135.0,37.5,113.34936,7.5,1.0471975511965976,1.675032216e-05,42.290900596804995,1.5144369000000013,9.456034886387428,15564.809523687549,14.259988627163999,0.8,O2030,0.72,34.05
3,30,87.5,157.5,43.75,81.722777,8.75,2.0943951023931953,1.675032216e-05,37.932258512435,3.812514599999999,13.319718068029776,20065.697370495676,6.709871935857999,0.8,O2030,0.72,34.05
6,30,87.5,157.5,43.75,81.722777,8.75,1.0471975511965976,1.675032216e-05,50.766841147715006,2.7433143000000015,13.319718068029776,33950.99126239631,16.836507923966497,0.8,O2030,0.72,34.05
3,60,50.518149,157.5,43.75,132.24093,8.75,2.0943951023931953,1.675032216e-05,49.088719354394996,2.404711979999999,15.015833176068922,16699.66302296726,12.895691107624499,0.8,O2030,0.72,34.05
6,60,50.518149,157.5,43.75,132.24093,8.75,1.0471975511965976,1.675032216e-05,47.360740552475,1.6759046999999998,15.015833176068924,24716.341269673194,4.8082985615,0.8,O2030,0.72,34.05
3,30,100.0,180.0,50.0,93.39746,10.0,2.0943951023931953,1.675032216e-05,51.879055492810004,3.8390322000000006,19.882494608837447,29952.294617183048,13.2379906568105,0.8,O2030,0.72,34.05
6,30,100.0,180.0,50.0,93.39746,10.0,1.0471975511965976,1.675032216e-05,61.590003376125,2.3469625400000025,19.882494608837447,50679.03068905805,5.760664511594999,0.8,O2030,0.72,34.05
3,60,57.735027,180.0,50.0,151.13249,10.0,2.0943951023931953,1.675032216e-05,54.62917554023999,1.204056519999997,22.41430491588131,24927.77678978383,15.073036600166999,0.8,O2030,0.72,34.05
6,60,57.735027,180.0,50.0,151.13249,10.0,1.0471975511965976,1.675032216e-05,67.66697353815,1.4768779199999997,22.41430491588131,36894.36345939719,7.275982185605,0.8,O2030,0.72,34.05
