α [°],b [mm],H/2b [ ],Ls [mm],2π/n [rad],γAH' [N],P0 [N],f
75,25.0,1.8,83.30127,1.0471975511965976,2.7964944327745087,5.809702664919998,0.9569569569569568
75,25.0,2.4,113.30127,1.0471975511965976,3.752374739651996,9.674981013774998,0.947947947947948
75,25.0,3.0,143.30127,1.0471975511965976,4.708255046529483,11.04808166882,0.8208208208208209
90,25.0,1.8,90.0,3.1415926535897927,2.8676409206324625,2.9754647937036784,0.40540540540540543
90,25.0,1.8,90.0,2.0943951023931957,2.8676409206324625,3.324850331159112,0.5965965965965966
90,25.0,1.8,90.0,1.0471975511965976,2.8676409206324625,4.749185041276954,0.7927927927927928
90,25.0,1.8,90.0,0.6981317007977318,2.8676409206324625,5.627153381891207,0.8778778778778779
90,25.0,1.8,90.0,0.5235987755982988,2.8676409206324625,5.04181698611552,0.8758758758758759
90,12.5,2.4,60.0,0.0,12.686553756655915,1.3579395741449996,1.0
90,25.0,1.2,60.0,0.0,5.1802436279630815,4.423190435334997,1.0
90,37.5,0.8,60.0,0.0,3.5304637696655714,8.77216414347,1.0
90,50.0,0.6,60.0,0.0,2.97049050637066,13.390614786954998,1.0
90,25.0,1.8,90.0,0.0,2.8676409206324625,7.451502903278116,1.0
90,12.5,3.6,90.0,0.0,18.796990996512772,2.400283499319998,1.0
90,25.0,1.8,90.0,0.0,7.314420945551615,6.901769247589997,1.0
90,37.5,1.2,90.0,0.0,4.62922295061071,13.965112860579998,1.0
90,50.0,0.9,90.0,0.0,3.785820547308312,21.172559311329998,1.0
90,12.5,4.8,120.0,0.0,28.520166240734234,3.1722080700799977,1.0
90,25.0,2.4,120.0,0.0,9.521379693963071,9.80982147061,1.0
90,37.5,1.6,120.0,0.0,5.834433818969313,16.88907735389,1.0
90,50.0,1.2,120.0,0.0,4.588025156230637,26.459064450105,1.0
90,37.5,2.0,150.0,0.0,7.1554862437755125,20.32484502671,1.0
90,50.0,1.5,150.0,0.0,5.0533439474908,33.270717448849986,1.0
30,31.25,1.8,58.373412,2.0943951023931957,4.7026226436689065,4.592529706204999,0.7617617617617618
60,31.25,1.8,94.45780400000001,2.0943951023931957,5.301448329963153,5.462505086325,0.6546546546546547
60,31.25,1.8,94.45780400000001,1.0471975511965976,5.301448329963153,10.430187207615,0.8968968968968969
30,37.5,1.8,70.04809499999999,2.0943951023931957,8.126131928259868,5.526257137309999,0.7257257257257257
30,37.5,1.8,70.04809499999999,1.0471975511965976,8.126131928259868,9.086513367224999,0.8238238238238238
60,37.5,1.8,113.34936,2.0943951023931957,9.16090271417633,10.09573827402,0.6146146146146146
60,37.5,1.8,113.34936,1.0471975511965976,9.16090271417633,14.704454836715,0.8118118118118118
30,43.75,1.8,81.72277700000001,2.0943951023931957,12.903996534227481,10.531208451260001,0.6716716716716716
30,43.75,1.8,81.72277700000001,1.0471975511965976,12.903996534227476,14.588719695410001,0.7897897897897898
60,43.75,1.8,132.24093,2.0943951023931957,14.547174217418895,14.920036973394,0.5825825825825826
60,43.75,1.8,132.24093,1.0471975511965976,14.547174217418895,21.283577453985,0.7857857857857858
30,50.0,1.8,93.39746,1.0471975511965976,19.261942348467837,21.632566707535,0.7637637637637638
60,50.0,1.8,151.13249,2.0943951023931957,21.71473235952908,15.646989620185002,0.5565565565565566
60,50.0,1.8,151.13249,1.0471975511965976,21.71473235952908,85.96256966828999,0.7227227227227228
30,25.0,1.8,46.69872981077806,2.0943951023931957,2.2756365515359103,1.2761375825403,0.7387387387387387
30,25.0,2.4,76.69872981077806,2.0943951023931957,3.179070328201449,2.9638776074380155,0.5865865865865866
30,25.0,1.8,46.69872981077806,1.0471975511965976,2.2756365515359103,2.1346209100185054,0.8368368368368369
30,25.0,2.4,76.69872981077806,1.0471975511965976,3.1790703282014485,4.339428168262558,0.7397397397397397
30,25.0,1.8,46.69872981077806,0.0,2.2756365515359103,5.4125326612273295,0.984984984984985
45,25.0,1.8,65.0,2.0943951023931957,2.459347503145079,2.027310549686568,0.7137137137137137
45,25.0,2.4,95.0,2.0943951023931957,3.3627812798106187,2.9150934581447117,0.5295295295295295
45,25.0,1.8,65.0,1.0471975511965976,2.459347503145079,3.5199144222337626,0.8558558558558559
45,25.0,2.4,95.0,1.0471975511965976,3.3627812798106187,4.95399163891963,0.7747747747747747
45,25.0,1.8,65.0,0.0,2.459347503145079,5.753948310536512,0.9349349349349351
60,25.0,1.8,75.56624327025935,2.0943951023931957,2.565413070509715,2.5834198705808697,0.7237237237237237
60,25.0,1.8,75.56624327025935,1.0471975511965976,2.565413070509715,4.007754580698716,0.8318318318318318
60,25.0,1.8,75.56624327025935,0.0,2.5654130705097145,5.988126105612304,0.945945945945946
90,25.0,1.8,90.0,2.0943951023931957,2.710301329996618,2.524893214719544,0.4924924924924925
90,25.0,1.8,90.0,1.0471975511965976,2.710301329996618,4.329685661694532,0.8138138138138138
90,50.0,0.6,60.0,0.0,2.1028293246606875,10.892366253773668,1.0
