n [count],α [°],L [mm],H [mm],b [mm],H/2b [ ],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],δ(Pmax) [mm],max(ktan) [N/mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],Material,d50 [mm],φ [°],f
6,75,25.881905,120.0,25.0,2.4,113.30127,5.0,1.0,1.0471975511965976,1.622752809e-05,2.8539135199999994,183.06078059365436,3.7523747396519957,9.709271642062559,5029.203319255767,671.3236843910339,9.674981013774998,0.8,F110,0.12,39.33,0.9479479479479479
6,75,25.881905,150.0,25.0,3.0,143.30127,5.0,1.0,1.0471975511965976,1.622752809e-05,4.313054619999998,265.01272052861816,4.708255046529483,12.649449150831396,5618.251941803854,982.3555226959687,11.04808166882,0.8,F110,0.12,39.33,0.8208208208208209
2,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,3.141592653589793,1.622752809e-05,0.6235928599999983,127.12048019885678,2.8676409206324625,4.283098655963808,2722.6416382795096,418.0523532193662,2.975464793703678,0.8,F110,0.12,39.33,0.40540540540540543
3,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,2.0943951023931953,1.622752809e-05,0.7827924399999979,107.74975979115807,2.8676409206324625,4.96285592832992,3180.700573388465,414.6407268711931,3.3248503311591118,0.8,F110,0.12,39.33,0.5965965965965966
6,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,1.0471975511965976,1.622752809e-05,1.1197844000000017,114.22719283987472,2.8676409206324625,5.738508071718516,4476.121577880652,340.69063779381037,4.749185041276954,0.8,F110,0.12,39.33,0.7927927927927928
9,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.6981317007977318,1.622752809e-05,2.7820975600000013,158.039946566385,2.8676409206324625,6.095707570260637,5653.408881120821,286.5344232658065,5.627153381891208,0.8,F110,0.12,39.33,0.8778778778778779
12,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.5235987755982988,1.622752809e-05,0.3685133599999994,120.76482000630736,2.8676409206324625,6.088912937022851,6712.562483108972,241.05408715686275,5.04181698611552,0.8,F110,0.12,39.33,0.8758758758758759
F,90,12.5,60.0,12.5,2.4,60.0,5.0,1.0,0.0,1.622752809e-05,0.3437864600000004,114.83101382393188,12.686553756655917,0.4779401534387438,3632.466505713199,154.6870195519005,1.3579395741449996,0.8,F110,0.12,39.33,1.0
F,90,25.0,60.0,25.0,1.2,60.0,5.0,1.0,0.0,1.622752809e-05,0.29858461999999775,90.52569710127898,5.1802436279630815,1.911760613754975,10995.574287564277,83.4649400153048,4.423190435334998,0.8,F110,0.12,39.33,1.0
F,90,37.5,60.0,37.5,0.8,60.0,5.0,1.0,0.0,1.622752809e-05,0.2826359599999974,84.91471781555214,3.530463769665571,4.301461380948694,23267.420590649406,60.483630866413286,8.77216414347,0.8,F110,0.12,39.33,1.0
F,90,50.0,60.0,50.0,0.6,60.0,5.0,1.0,0.0,1.622752809e-05,0.32821626000000104,95.67448179977191,2.97049050637066,7.647042455019899,40448.00541496859,52.04306515754303,13.390614786955,0.8,F110,0.12,39.33,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.622752809e-05,0.30650942000000003,116.97518030075636,2.8676409206324625,6.850950529703798,11584.622910112363,157.15637630789604,7.451502903278116,0.8,F110,0.12,39.33,1.0
F,90,12.5,90.0,12.5,3.6,90.0,5.0,1.0,0.0,1.622752809e-05,0.4264558400000018,103.12740730224809,18.79699099651277,0.7169102301581156,4221.515128261285,295.8169592910642,2.4002834993199986,0.8,F110,0.12,39.33,1.0
F,90,25.0,90.0,25.0,1.8,90.0,5.0,1.0,0.0,1.622752809e-05,0.29990541999999626,242.53636534291607,7.314420945551615,2.8676409206324625,11584.622910112363,167.78808803384624,6.901769247589998,0.8,F110,0.12,39.33,1.0
F,90,37.5,90.0,37.5,1.2,90.0,5.0,1.0,0.0,1.622752809e-05,0.3453917399999958,208.90952418320154,4.62922295061071,6.452192071423041,23856.469213197495,116.02391725497785,13.96511286058,0.8,F110,0.12,39.33,1.0
F,90,50.0,90.0,50.0,0.9,90.0,5.0,1.0,0.0,1.622752809e-05,0.3874795399999963,201.0918970413241,3.7858205473083117,11.47056368252985,41037.054037516675,98.06339297922877,21.172559311329998,0.8,F110,0.12,39.33,1.0
