H [mm],Nγ [ ],γAH' [N],Pmax [N]
120.0,8.065725206209525,3.7523747396519953,30.265623520755
150.0,9.707662882773441,4.708255046529483,45.706152757825
90.0,6.535143178827355,2.796494432774508,18.275491516975
120.0,9.709271642062559,3.7523747396519957,36.432825650095
150.0,12.649449150831396,4.708255046529483,59.55683280022
90.0,4.283098655963808,2.8676409206324625,12.282388972947716
90.0,4.96285592832992,2.8676409206324625,14.231688743282286
90.0,5.738508071718516,2.8676409206324625,16.455980569839703
90.0,6.095707570260637,2.8676409206324625,17.480300468688483
90.0,6.088912937022851,2.8676409206324625,17.46081590037512
60.0,0.4779401534387438,12.686553756655917,6.063413449065
60.0,1.911760613754975,5.1802436279630815,9.903385737594999
60.0,4.301461380948694,3.530463769665571,15.186153562054997
60.0,7.647042455019899,2.97049050637066,22.715467014449995
90.0,6.850950529703798,2.8676409206324625,19.646066084207256
90.0,0.7169102301581156,18.79699099651277,13.475755141589996
90.0,2.8676409206324625,7.314420945551615,20.975132814195
90.0,6.452192071423041,4.62922295061071,29.868635618779997
90.0,11.47056368252985,3.7858205473083117,43.42549567853
120.0,0.9558803068774875,28.520166240734234,27.26186525839
120.0,3.82352122750995,9.521379693963071,36.405197375049994
120.0,8.602922761897387,5.834433818969313,50.193183503995
120.0,15.294084910039798,4.588025156230638,70.16964630878999
150.0,10.753653452371735,7.1554862437755125,76.94761934877499
150.0,19.11760613754975,5.0533439474908,96.60783926570001
112.5,4.895049004186209,4.702622643668906,23.019568288954993
112.5,4.733226170168934,5.301448329963154,25.092953975179995
112.5,6.232124569828568,5.301448329963154,33.039286392840005
135.0,4.540262349425165,8.126131928259868,36.894770840339994
135.0,5.546258298557579,8.126131928259868,45.069626642284994
135.0,4.513264584587113,9.16090271417633,41.345577782739994
135.0,5.676390158362845,9.16090271417633,52.00085800847
157.5,4.032106230431492,12.90399653422748,52.030284823125
157.5,5.186112362796475,12.903996534227478,66.92157595564
157.5,4.337763649007581,14.547174217418897,63.10220351609999
157.5,5.511172806024173,14.547174217418895,80.171990951535
180.0,4.914558910008103,19.261942348467834,94.663950392725
180.0,4.202124769369198,21.714732359529076,91.24801470819999
180.0,5.129852519460928,21.71473235952908,111.39337450395
90.0,3.124406794331406,2.27563655153591,7.110014303047688
120.0,3.6695975731738844,3.179070328201449,11.66590876131714
90.0,3.844625440186003,2.27563655153591,8.748970178652105
120.0,4.832645352635988,3.1790703282014485,15.363319447285697
90.0,5.126437591030692,2.27563655153591,11.66590876131714
90.0,3.2123273948227724,2.459347503145079,7.900229357741922
120.0,3.8520594865606634,3.3627812798106187,12.953633530123103
90.0,4.013608635406087,2.459347503145079,9.870858376087488
120.0,5.334525203496565,3.3627812798106187,17.93884149099618
90.0,4.513415596812755,2.459347503145079,11.100057378677505
90.0,3.406557708988247,2.565413070509715,8.739227672084079
90.0,3.9123116303007657,2.565413070509715,10.036695392280755
90.0,4.494157690944636,2.5654130705097145,11.529370881281128
90.0,2.9004847645580627,2.710301329996618,7.861187715016644
90.0,3.9083492861532076,2.710301329996618,10.59280426835237
60.0,7.227470213324313,2.1028293246606875,15.198136307690001
90.0,4.484252995780877,2.710301329996618,12.153676858506229
90.0,2.710301329996618,4.865836047655062,13.187881911505
90.0,10.841205319986472,2.778716061842152,30.124631352374994
120.0,0.9034337766655393,16.564586277849788,14.965006739900002
120.0,3.613735106662157,6.246454059377551,22.573030326524997
