α [°],L [mm],H [mm],b [mm],Ls [mm],d [mm],P [ ],2π/n [rad],γ [N/mm3],Pmax [N],δ(Pmax) [mm],γAH' [N],Nγ [ ],Vroot [mm3],F/Nroot [ ],P0 [N],DR [ ],d50 [mm],φ [°]
45,35.3553,90.0,25.0,65.0,5.0,1.0,3.1415926535897927,1.6227528090000002e-05,9.560514481357332,1.1538534200000017,2.602118613166494,3.6741270874363527,2627.546101587218,337.18576092311656,0.8096991781849023,0.8,0.12,39.33
45,35.3553,60.0,25.0,35.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,5.383233080247388,0.6971055400000001,1.6462383062890062,3.2700205430053524,2686.289870508294,185.7071465975393,2.222446702037085,0.8,0.12,39.33
45,75.0,90.0,53.033,36.966991411008934,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,14.934077561135252,8.375553479999999,10.369720768245529,1.4401619768650702,5060.176706882071,273.49603015836374,2.202890072447857,0.8,0.12,39.33
45,50.0,90.0,35.3553,54.644660940672615,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,14.153605457831734,1.736773260000002,4.984261161403871,2.839659680642661,3934.6553800554775,333.34864358135144,2.2809733578984117,0.8,0.12,39.33
45,35.3553,90.0,25.0,65.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,13.02197475382832,1.0563707600000027,2.602118613166494,5.004374008140236,3275.3384930563802,368.43337740810796,2.3882837182303525,0.8,0.12,39.33
45,35.355339,90.0,25.0,65.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,14.669144032059993,1.3005968399999983,2.602118613166494,5.637384843963455,3275.3402488696497,415.0368499663341,3.199809867169998,0.8,0.12,39.33
45,35.3553,120.0,25.0,95.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,24.543372188381678,1.8965392600000053,3.557998920043981,6.89808309106465,3864.3871156044665,588.5615886892891,2.5346357212875668,0.8,0.12,39.33
45,35.355339,120.0,25.0,95.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,25.433287879439998,2.1102828000000025,3.557998920043981,7.148199999769987,3864.388871417736,609.9019076808593,6.266749433489999,0.8,0.12,39.33
45,35.355339,150.0,25.0,125.0,5.0,1.0,2.0943951023931957,1.6227528090000002e-05,42.357748607195,2.9428135200000014,4.5138792269214685,9.383890546864187,4453.437493965822,881.4056189036453,6.302060238144999,0.8,0.12,39.33
45,35.3553,60.0,25.0,35.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,6.788083222051872,0.5815965000000004,1.6462383062890062,4.1233903962262595,4518.289523259826,139.22313515322298,2.7395143802061104,0.8,0.12,39.33
45,75.0,90.0,53.033,36.966991411008934,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,21.733747524630093,5.826544099999999,10.369720768245529,2.095885512287257,9227.441952266814,218.26877110939049,5.188169433995428,0.8,0.12,39.33
45,50.0,90.0,35.3553,54.644660940672615,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,18.6607153219852,1.1793321599999995,4.984261161403871,3.743928080351473,6629.2990690700035,260.8548904159411,4.388212317555862,0.8,0.12,39.33
45,35.3553,90.0,25.0,65.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,16.377897284389142,0.6030188599999988,2.602118613166494,6.294062538701504,5107.338145807912,297.1678608452223,3.7638342790548913,0.8,0.12,39.33
45,35.355339,90.0,25.0,65.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,15.985357291119998,0.85347556,2.602118613166494,6.143208541776488,5107.342198910808,290.04521024742087,5.092730638099998,0.8,0.12,39.33
45,35.3553,120.0,25.0,95.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,29.66511847411345,1.1707444199999992,3.557998920043981,8.337585013585883,5696.386768355997,482.59734198826027,4.836938772019669,0.8,0.12,39.33
45,35.355339,120.0,25.0,95.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,30.525533088365002,1.5666237399999992,3.557998920043982,8.579410442313362,5696.3908214588955,496.59436426221464,7.927221218139999,0.8,0.12,39.33
45,35.355339,150.0,25.0,125.0,5.0,1.0,1.0471975511965976,1.6227528090000002e-05,47.88742336203,1.9367398399999975,4.5138792269214685,10.608928807049613,6285.439444006981,706.0315862058908,9.283650568185001,0.8,0.12,39.33
45,50.0,90.0,35.3553,54.644660940672615,5.0,1.0,0.6981317007977318,1.6227528090000002e-05,20.83621988549047,0.87102696,4.984261161403871,4.180402914445542,9156.876475600595,210.86761387277863,5.5686267260298825,0.8,0.12,39.33
45,35.3553,90.0,25.0,65.0,5.0,1.0,0.6981317007977318,1.6227528090000002e-05,17.29490682290599,0.5243144200000001,2.602118613166494,6.646471354301554,6772.271516075507,236.65853534136247,4.729628411687727,0.8,0.12,39.33
45,50.0,90.0,35.3553,54.644660940672615,5.0,1.0,0.5235987755982988,1.6227528090000002e-05,21.948365576357837,0.741174540000001,4.984261161403871,4.4035344187654575,11517.387599647249,176.59829657376858,7.451502903278116,0.8,0.12,39.33
